# index, label, _pos
243,176,"array([-7.59051082,  2.60144395])"
244,272,"array([-8.34799475,  2.81129452])"
245,270,"array([-8.4336394 ,  2.88390395])"
246,258,"array([-8.33089476,  3.24872047])"
247,181,"array([-8.22162789,  2.61107804])"
248,182,"array([-8.1630243 ,  2.59361858])"
249,274,"array([-8.27508895,  3.26815631])"
250,190,"array([-8.22186314,  3.22063161])"
251,191,"array([-8.23264667,  3.36695894])"
252,194,"array([-8.34597094,  2.61680853])"
253,244,"array([-8.33407048,  3.13893575])"
254,260,"array([-8.42573864,  3.09129058])"
255,207,"array([-8.39767722,  2.67604071])"
256,223,"array([-8.34729727,  2.68178001])"
257,208,"array([-8.37654627,  2.725975  ])"
258,209,"array([-8.47419544,  2.74878408])"
259,210,"array([-8.43323752,  2.72043547])"
260,211,"array([-8.25880815,  2.38562746])"
261,212,"array([-8.24634159,  3.1123232 ])"
262,261,"array([-8.55380932,  2.90321943])"
263,262,"array([-8.53022725,  2.95246445])"
264,263,"array([-8.57627973,  2.9797646 ])"
265,264,"array([-8.56262961,  3.03357743])"
266,265,"array([-8.55125909,  3.09055382])"
267,266,"array([-8.41904865,  3.18810436])"
268,282,"array([-8.34174723,  3.30794835])"
269,279,"array([-8.45890024,  3.14159773])"
270,231,"array([-8.5914914 ,  3.18379693])"
271,280,"array([-8.50217592,  3.16601625])"
272,232,"array([-8.50361516,  3.28385091])"
273,281,"array([-8.45344803,  3.24343597])"
274,233,"array([-8.43574465,  3.37805312])"
275,246,"array([-8.50237602,  3.05434496])"
276,247,"array([-8.4958968 ,  3.10908957])"
277,248,"array([-8.38512515,  3.27967953])"
278,243,"array([-8.44230283,  3.30933323])"
279,257,"array([-8.53455348,  3.24266567])"
280,259,"array([-8.3142694 ,  3.37271485])"
281,267,"array([-8.37046061,  3.41777834])"
282,268,"array([-8.48402598,  2.8721142 ])"
283,271,"array([-8.43813867,  2.83606059])"
284,273,"array([-8.37232155,  3.05831697])"
285,291,"array([-8.40937615,  3.47882533])"
286,292,"array([-8.54508363,  3.36885399])"
287,293,"array([-8.17512033,  3.43213261])"
288,294,"array([-8.32701869,  3.49529917])"
289,295,"array([-8.24444163,  3.51242959])"
290,296,"array([-8.0944316,  3.4605134])"
291,297,"array([-8.16433626,  3.50207407])"
292,298,"array([-8.60902516,  3.29127624])"
293,299,"array([-8.26625222,  3.44826753])"
294,300,"array([-8.48540216,  3.43185403])"
295,301,"array([-7.67134619,  2.46809062])"
296,302,"array([-7.77777291,  2.4112471 ])"
